Team,Home,Away,Total,Total_Sets_Won,Total_Sets_Lost,Total_Points_Scored,Total_Points_Conceded,Wins
ZAKSA Kędzierzyn-Koźle,228,217,445,1107,573,27843,25433,324
PGE Skra Bełchatów,224,211,435,1095,570,27994,24220,321
Asseco Resovia,219,212,431,1002,624,26921,24745,290
Jastrzębski Węgiel,220,219,439,1011,692,27754,26239,286
Projekt Warszawa,199,208,407,768,819,25230,25062,194
AZS Olsztyn,199,197,396,699,825,24181,24953,172
Trefl Gdańsk,167,170,337,629,645,20501,20331,171
Chemik Bydgoszcz,158,160,318,534,678,18887,20350,129
Cuprum Lubin,115,119,234,434,472,14439,14751,110
Czarni Radom,130,134,264,442,550,15747,16059,108
Warta Zawiercie,77,79,156,328,277,9830,9890,91
AZS Częstochowa,122,128,250,379,588,14703,15795,83
GKS Katowice,86,87,173,295,373,10424,10875,74
Społem Kielce,116,119,235,327,567,13627,14954,71
MKS Będzin,88,90,178,226,445,10046,11145,44
BBTS Bielsko-Biała,85,85,170,189,447,9310,10766,35
Ślepsk Malow Suwałki,41,42,83,137,176,4971,5347,32
Stal Nysa,42,38,80,127,177,4750,4958,26
LUK  Lublin,27,27,54,89,123,3294,3531,22
Stocznia Szczecin,32,32,64,96,157,3806,4264,19
Jadar Radom,24,22,46,66,103,2609,2703,17
Pamapol Wielton Wieluń,27,29,56,71,139,3119,3412,14
Barkom Każany Lwów,13,14,27,35,66,1481,1684,6
